abatement       n.减少，减轻
abbreviate      v.缩短；缩写
aberrant        adj.越轨的；异常的
aberration      n.越轨
abet            v.教唆；鼓励，帮助
abeyance        n.中止，搁置
abhor           v.憎恨，厌恶
ablaze          adj.着火的，燃烧的；闪耀的
abolition       n.废除，废止
abrasive        adj.研磨的
abreast         adv.并列，并排
abridge         v.删减；缩短
absent          v.缺席，不参加  adj.缺席的
abstain         v.禁绝，放弃
abstract        n.摘要  adj.抽象的
abstruse        adj.难懂的，深奥的
absurd          adj.荒谬的，可笑的
abut            v.邻接，毗邻
abysmal         adj.极深的；糟透的
academic        adj.学院的，学术的；理论的
accede          v.同意
accelerate      v.加速；促进
accentuate      v.强调；重读
accessible      adj.易接近的；易受影响的
accidental      adj.偶然发生的
accommodate     v.与…一致；提供住宿；顺应，使适应
accompany       v.伴随，陪伴
accomplice      n.共犯，同谋
accomplish      v.完成，做成功
accredit        v.授权
accuracy        n.精确，准确
accuse          v.谴责，指责
accustom        v.使习惯
acerbic         adj.尖酸的；刻薄的
acidic          adj.酸的，酸性的
acknowledge     v.承认；致谢
acolyte         n.（教士的）助手，侍僧
acoustic        adj.听觉的，声音的
acquiescence    n.默许
acquiescent     adj.默许的
acrimonious     adj.尖酸刻薄的，激烈的
acrimony        n.尖酸，刻薄
activate        v.刺激，使活动
actuate         v.开动，促使
acute           adj.灵敏的，敏锐的；剧烈的；急性的
adamant         adj.坚决的，固执的；强硬的
adaptability    n.适应性
adaptable       adj.有适应能力的；可改编的
adaptive        adj.适应的
addict          v.沉溺；上瘾
address         v.处理，对付，设法解决；致辞
adept           adj.熟练的，擅长的
adequate        adj.足够的
adhere          v.粘着，坚持
adhesive        adj.黏着的，带黏性的  n.黏合剂
admonish        v.训诫；警告
adopt           v.采纳，采用；正式接受，通过
adoration       n.崇拜，爱慕
adore           v.崇拜；爱慕
adorn           v.装饰
adulation       n.奉承，谄媚
adulatory       adj.奉承的
adumbrate       v.预示
advantage       n.利益，益处  v.有利于，有益于
adventurous     adj.爱冒险的，大胆的；充满危险的
adversary       n.对手，敌手  adj.对手的，敌对的
adverse         adj.有害的，不利的；敌对的，相反的
adversity       n.逆境，不幸
advertise       v.做广告；通知
advocacy        n.拥护，支持
aesthetic       adj.美学的，审美的
aesthetically   adv.审美地；美学观点上地
affable         adj.和蔼的；友善的
affection       n.喜爱
affectionate    adj.亲爱的，挚爱的
affective       adj.感情的，表达感情的
affinity        n.相互吸引；密切关系
affirmation     n.肯定；断言
afflict         v.折磨；使痛苦
affluent        adj.富有的，丰富的
affordable      adj.负担得起的
affront         v.侮辱，冒犯
aggrandize      v.增大，扩张；吹捧
aggressive      adj.好斗的；有进取心的
aghast          adj.惊骇的，吓呆的
agility         n.敏捷的
agitate         v.鼓动，煽动；使不安，使焦虑
agitation       n.焦虑，不安；公开辩论，鼓动宣传
agony           n.极大的痛苦
agoraphobic     n./adj.患旷野恐惧症的（人）
agrarian        adj.土地的
airborne        adj.空运的，空降的；空气传播的
akin            adj.同族的；类似的
alienate        v.使疏远，离间
alienation      n.疏远，离间
allegiance      n.忠诚，拥护
allegory        n.寓言
allot           v.分配；拔出
alloy           n.合金
allude          v.暗指，影射，间接提到
allure          v.引诱，诱惑
allusion        n.暗指，间接提到
allusive        adj.暗指的，间接提到的
ally            v.（使）结盟，（使）联合  n.同盟者，伙伴
aloof           adj.远离的；冷淡的，冷漠的
also-ran        n.落选者；不重要的参与者
alternate       adj.轮流的，交替的  v.轮流，交替  n.候选人，代替者
alternative     adj.轮流的，交替的；两者择一的
altruism        n.利他主义；无私
amalgam         n.混合物
amateur         n.业余爱好者
amaze           v.使大为吃惊，使惊奇
ambidextrous    adj.十分灵巧的
ambiguity       n.模棱两可的话；不明确
ambiguous       adj.含糊的
ambitious       adj.有抱负的，雄心勃勃的
ambivalent      adj.（对人或物）有矛盾看法的
amble           v.缓行，漫步
ameliorate      v.改善，改良
amenable        adj.顺从的；愿接受的
amend           v.改正，修正；改善
amendment       n.改正，修正；修正案
amiability      n.亲切，友善
amicable        adj.有好的
amicably        adv.友善地
amorphous       adj.无固定形状的
anachronistic   adj.时代错误的
anaerobic       adj.厌氧的  n.厌氧微生物
analogous       adj.相似的，可比拟的
anarchy         n.无政府；政治混乱
anathema        n.被诅咒的人；（天主教的）革除教门，诅咒
anatomical      adj.解剖学的
ancestor        n.祖先，祖宗
ancestral       adj.祖先的，祖传的
anecdotal       adj.轶事的，趣闻的
angular         adj.生硬的，笨拙的
animated        adj.活生生的，生动的
animosity       n.憎恶，仇恨
annex           v.兼并，附加
annotate        v.注解
anomalous       adj.反常的；不协调的
anomaly         n.异常，反常；异常事物
antagonism      n.对抗，敌对
antagonistic    adj.敌对的，对抗性的
antagonize      v.使…敌对；与…对抗
antecedent      n.前事；祖先  adj.先行的
antedate        v.（在信、支票等上）填写比实际日期早的日期；早于
anterior        adj.较早的，以前的
antibiotic      adj.抗菌的  n.抗生素
