anticipatory        adj.预想的，预期的
anticlimactic       adj.突减的
antidote            adj.解药
antipathy           adj.反感，厌恶
antiquarianism      adj.古物研究，好古癖
antiquated          adj.陈旧的，过时的；年老的
antique             adj.古时的，古老的  n.古物，古董
antiquity           n.古老；古人；古迹
antiseptic          n.杀菌剂  adj.防腐剂
antithesis          n.对立；相对
antithetical        adj.相反的；对立的
apathetic           adj.无感情的；无兴趣的
apex                n.顶点，最高点
aphorism            n.格言
appall              v.使惊骇，使胆寒
apparition          n.幽灵；特异景象
appease             v.使平静，安抚
appetizing          adj.美味可口的，促进食欲的
applaud             v.鼓掌；称赞
applicability       n.适用性，适应性
apply               v.应用；适用
apportion           v.（按比例或计划）分配
apposite            adj.适当的，贴切的
appreciate          v.欣赏；感激
appreciative        adj.赞赏的；感激的
apprehensive        adj.害怕的；敏悟的
apprise             v.通知，告知
approach            v.接近，靠近；着手处理  n.方法
approaching         adj.接近的，逼近的
approbation         n.赞许；认可
appropriate         v.拨款；盗用
approximate         adj.近似的，大约的
apropos             adj./adv.适当的（地）；有关
aptitude            n.适宜；才能，资质
aquatic             adj.水生的，水中的
arable              adj.适于耕种的
arbiter             n.权威人士，泰斗
arbitrary           adj.专横的，武断的
arboreal            adj.树木的
arcane              adj.神秘的，秘密的
archaeological      adj.考古学的
archaic             adj.古老的
archetypally        adv.典型地
architect           n.建筑师
architectural       adj.建筑上的；建筑学的
archive             n.档案室
arduous             adj.费力的，艰难的
argumentative       adj.好争辩的，好争吵的
arid                adj.干旱的；枯燥的
aristocratic        adj.贵族（化的）
armored             adj.披甲的，装甲的
aromatic            adj.芬芳的，芳香的
arresting           adj.醒目的，引人注意的
arrogant            adj.傲慢的，自大的
articulate          v.清楚地说话；（用关节）连接
artisan             n.技工
artistry            n.艺术技巧
artless             adj.朴实的，自然地；粗俗的
ascent              n.上升，攀登；上坡路；提高，提升
ascetic             adj.禁欲的  n.苦行者
asceticism          n.禁欲主义
ascribe             v.归因于，归咎于
aseptic             adj.净化的；无菌的
aspect              n.（问题等的）方面；面貌，外表
aspen               n.白杨
aspiration          n.抱负，渴望
aspiring            adj.有抱负的，有理想的
assail              v.质问；攻击
assertion           n.断言，声明；主张
assertive           adj.断言的，肯定的
assessment          n.估价，评价
assiduous           adj.勤勉的；专心的
assimilate          v.同化；吸收
assorted            adj.各式各样的；混杂的
assume              v.假定；承担，担任
assuming            adj.傲慢的，自负的
assure              v.保证
assuredness         n.确定；自信
astigmatic          adj.散光的，乱视的
astound             v.使震惊
astray              adj.迷路的，误入歧途的
astronomical        adj.极大的；天文学的
astute              adj.机敏的，精明的
asunder             adj./adv.分离的（地）；化为碎片的（地）
asymmetric          adj.不对称的
atheist             n.无神论者
atomic              adj.原子的；微小的
atonement           n.弥补
atrocity            n.邪恶；暴行
atrophy             n.萎缩，衰退
attenuation         n.变瘦；减少；减弱
attest              v.证明，证实
attribute           v.把…归于  n.属性，特质
attrition           n.摩擦，磨损
attune              v.使调和
audacious           adj.大胆的
audible             adj.听得见的
audience            n.听众，观众；读者
audit               v.旁听；审计，查账
augment             v.提高，增加
auspices            n.支持，赞助
auspicious          adj.幸运的；吉兆的
austere             adj.朴素的
authentic           adj.真正的，真实的；可信的
authenticate        v.证明…是真实的
authoritative       adj.权威的，官方的；专断的
autobiographical    adj.自传的，自传体的
autobiography       n.自传
autograph           n.亲笔稿，手迹 v.在…上亲笔签名  adj.亲笔的
automated           adj.自动的
automotive          adj.汽车的，自动的
autonomous          adj.自治的；自主的
autonomy            n.自治，自主
avarice             n.贪财，贪婪
avaricious          adj.贪婪的，贪心的
averse              adj.反对的，不愿意的
avid                adj.渴望的；热心的
avocational         adj.副业的，嗜好的
avoid               v.避开，躲避
awe                 n./v.敬畏
awe-inspiring       adj.令人敬畏的
awe-struck          adj.充满敬畏的
awkward             adj.笨拙的；难用的；不便的
axiom               n.公理；定理
bacterium           n.细菌
baffle              v.使困惑，难倒
balk                n.梁木，大梁  v.妨碍；畏缩不前
ballad              n.歌谣，小曲
balm                n.香油，药膏；镇痛剂，安慰物
balmy               adj.芳香的；（指空气）温和的；止痛的
banal               adj.乏味的，陈腐的
bane                n.祸根
banish              v.放逐
banter              n.打趣，玩笑
barbarous           adj.野蛮的；残暴的
baroque             adj.过分装饰的
barren              adj.不育的；贫瘠的；不结果实的
barrier             n.路障；障碍
base                adj.卑鄙的
bashfulness         n.羞怯
bask                v.晒太阳，取暖
bastion             n.堡垒，防御工事
beaded              adj.以珠装饰的，珠状的
befriend            v.以朋友态度对待
beleaguer           v.围攻；骚扰
belie               v.掩饰；证明为假
believalble         adj.可信的
belittle            v.轻视，贬低
bellicose           adj.好战的，好斗的
