circumscribe        v.划界限；限制
circumspect         adj.慎重的
circumstantial      adj.不重要的，偶然的；描述详细的
circumvent          v.回避；用计谋战胜或回避
cite                v.引用，引述
civil               adj.国内的；公民的；文明的
claim               v.要求或索要  n.声称拥有的权利
clamber             v.吃力地爬上，攀登
clamor              n.吵闹，喧哗
clannish            adj.拍他的，门户之见的
clarification       n.解释，澄清
clarify             v.澄清
clause              n.从句；（法律等）条款
claustrophobic      adj.（患）幽闭恐怖症的，导致幽闭恐怖症的
cleave              v.劈开；分裂
clemency            n.温和；仁慈，宽厚
cliche              n.陈词滥调
climactic           adj.高潮的
climate             n.气候，风气
climax              n.顶点，高潮
clinical            adj.临床的；冷静客观的
clog                v.阻塞  n.障碍
closet              adj.秘密的  n.壁橱
clumsy              adj.笨拙的；拙劣的
clutter             v.弄乱  n.零乱
coalesce            v.联合，合并
coarse              adj.粗糙的；低劣的；粗俗的
coax                v.哄诱，巧言诱骗
code                n.密码；法典  v.将某事物编写成密码
codify              v.编成法典，编辑成书
coerce              v.强迫；压制
coercion            n.强制，高压统治
coercive            adj.强制的，强迫性的
cogent              adj.有说服力的
cognitive           adj.认知的；感知的
coherence           n.条理性，连贯性
coherent            adj.连贯的，一致的
cohesive            adj.凝聚的
coincidental        adj.巧合的；同时发生的
coincidentally      adv.巧合地
cold-blooded        adj.冷血的；残酷的
collaborate         v.合作，协作；通敌
collaborative       adj.协作的
collateral          adj.平行的；附属的；旁系的  n.担保品
colloquial          adj.口语的，口头的
collusion           n.共谋，勾结
colonize            v.建立殖民地，拓殖；定居，居于
colony              n.菌群；殖民地
coloration          n.着色法，染色法；颜色，色泽
colorful            adj.富有色彩的；有趣的
colossal            adj.巨大的，庞大的
combative           adj.好斗的
combine             v.（使）联合，结合；协力
combustible         adj.易燃的；易激动的
cometary            adj.彗星的，彗星似的
comic               adj.可笑的；喜剧的  n.喜剧演员
commend             v.推荐；举荐；表扬；称赞
commensurate        adj.同样大小的；相称的
commentary          n.实况报道；（对书等的）集注
commentator         n.评论员
commercialize       v.使商业化，使商品化
commingle           v.掺和，混合
commiserate         v.同情，怜悯
commission          n.委托；佣金
commitment          n.承诺，许诺
committed           adj.（对事业，本职工作等）尽忠的
commodious          adj.宽敞的
commodity           n.商品
communal            adj.全体共用的，共享的
comparison          n.比较，对照；比喻
compass             n.指南针，罗盘；界限，范围
compassion          n.同情，怜悯
compassionate       adj.有同情心的
compel              v.强迫
compelling          adj.引起兴趣的
compendium          n.简要，概略
compensatory        adj.补偿性的，报酬的
competence          n.胜任，能力
competing           adj.有竞争性的；不相上下的
complacence         n.自满
complacency         n.满足，安心
complacent          adj.自满的，得意的
complementary       adj.互补的
compliance          n.顺从，遵从
compliant           adj.服从的，顺从的
complicate          v.使复杂化
compliment          n./v.恭维，称赞
component           n.成分，零部件
composed            adj.镇定的，沉着的
composure           n.镇静，沉着；自若
compound            n.复合物  v.掺和
comprehend          v.理解；包括
comprehensible      adj.可理解的，易于理解的
comprehensively     adv.包括地；全面地
compromise          v.妥协；危害
concede             v.承认；让步
conceive            v.想象，构想；怀孕
concentrate         v.聚集，浓缩
concentration       n.专心，专注；集中；浓度
concentric          adj.同心的
conceptual          adj.概念上的
conciliatory        adj.抚慰的，调和的
conclusive          adj.最后的，结论的，决定性的；确凿的，消除怀疑的
concoction          n.（古怪或少见的）混合（物）
concomitant         adj.伴随的
concurrent          adj.并发的；协作的，一致的
condemnation        n.谴责
condense            v.浓缩
condescending       adj.谦逊的，故意屈尊的
condone             v.宽恕，原谅
cone                n.松果；圆锥体
confide             v.吐露（心事）；倾诉
confidently         adv.确信地；肯定地
configuration       n.结构，配置；轮廓
confine             v.限制，禁闭
conflagration       n.（建筑物或森林）大火
conflate            v.合并
conflict            v.斗争，冲突，抵触  n.冲突
conformity          n.一致，遵从；顺从
confound            v.使迷惑，搞混
confront            v.面临；对抗
confrontation       n.对抗
confusion           n.困惑，糊涂；混乱，骚乱
congenial           adj.意气相投的，趣味相投的
congenital          adj.天生的
congruent           adj.全等的，一致的
congruity           adj.一致的，符合的；【数】全等的
conifer             n.针叶树
conjecture          v./n.推测，臆测
conjure             v.召唤，想起；变魔术，变戏法
connive             v.默许；纵容；共谋
connoisseur         n.鉴赏家，行家
connotation         n.言外之意，内涵
conquer             v.以武力征服
conscientious       adj.尽责的；小心谨慎的
consciousness       n.意识，观念；清醒状态；知觉
consecutive         adj.连续的
conserve            v.保存，保藏
considerable        adj.相当多的；重要的；值得考虑的
consign             v.托运；托人看管
consort             v.陪伴；结交  n.配偶
conspiracy          n.共谋，阴谋
constant            adj.稳定的，不变的  n.常熟
consternation       n.大为吃惊，惊骇
constituent         n.成分；选区内的选民
constitute          v.组成，构成；建立
